"Headline","Bias","Reliability"
"Rebekah Jones's Florida COVID Data Conspiracy -- Not a Word of It Is True","6","56"
"Liz Cheney Ousted by House GOP, Who Then Give Her a Standing Ovation","5.83","36.83"
"The Capital Letter: Biden’s Vaccine Blunder","17.67","28"
"Critical Race Theory: How It Works","18","31.33"
"Anthony Fauci on CDC Summer-Camp Guidelines","4","40.33"
"Georgia Voting Law & MLB All-Star Game Move: Democrats Worry about Political Fallout","13","32.33"
"Voting Law Debate: Why Not Fewer Voters?","18.67","32.67"
"Media Don’t Care that Joe Biden Fell Down the Stairs Because He Isn’t Donald Trump","11.33","28.67"
"Internal Migration & Political Self-Sorting: What to Make of Trend?","5.33","38.67"
"Presidents Day & Congress: Overvaluing the Presidency","8.33","48.67"
"The Mess in Texas -- The Capital Note","8.43","42.43"
"Trump Impeachment & Mob Rule -- A Reply to the Federalist","0.67","43.67"
"Joe Biden’s War on Women","15","33"
"Tulsi Gabbard: Domestic Terrorism Bill Is ‘a Targeting of Almost Half of the Country’","4.67","44"
"Calls to Shut Down Fox News Show Contempt for Free Speech, Ignorance of the Law","5.33","42.67"
"Joe Biden & Swing States -- No, He Did Not Only Improve in Four Major Swing State Cities","7","44.67"
"The President Tests Positive for COVID","2.67","44.33"
"Presidential Debates -- Joe Biden Is an Idea with No Specifics on Policy","20","32.67"
"American Troop Drawdown: Germany Altered Once-Solid Relationship","15.67","37.33"
"Susan B. Anthony Museum Rejects Donald Trump’s Pardon","4.17","38.67"
"Election Polls: They Don’t Look Promising","21","32.67"
"Housing Policy & Suburbs: State & Local Reforms Needed","22.67","27.67"
"Steve Bannon Indictment: If There Are Convictions, Potential Penalties Are Severe","5.33","41.67"
"Attorney General William Barr Excellent Witness in Hostile Hearing","15.67","25"
"Protests & Riots: Democrats and Media Blame Trump","20","25.4"
"HYPOCRISY: Democrats now demanding barriers for Capitol yet oppose Mexico border wall","21","24"
"All American travelers are THREATENED to wear masks, and can be ordered to remove them if the government needs to scan your face","34","5.67"
"Situation Update, Feb. 3 – America to split into FREE states vs censored “SLAVE” states","33.67","6.33"
"Rubella vaccine inventor admits dozens of babies were strategically aborted to establish a suitable cell line for vaccines","26","12.33"
"“Anti-Facebook” social media website MeWe gains surge in membership as people flee to platforms that respect privacy and free speech","22.67","29.33"
"Parler says Amazon intentionally let hackers attack data centers","17.67","24"
"Baseball legend Hank Aaron dies two weeks after receiving coronavirus vaccinate during publicity stunt","32.67","8.67"
"Vin Gupta says getting vaccinated doesn’t stop infections or the spread of COVID-19, so what’s the point?","35.67","3.33"
"Minutes after receiving coronavirus vaccine, vax-brainwashed nurse loses consciousness and collapses on LIVE TV","36.67","2.33"
"World Economic Forum wants big government, big banks, big corporations to vaccinate the world","34.33","3.67"
"UBS Bank fraud allegations reveal ties to Democratic politicians including Obama and the Clinton Crime Family","36","5.33"
"If voter fraud goes unpunished, America will never again have a free and fair election","36.33","4.67"
"When politicians use the word “reimagine,” they are preparing to REAM you","34.67","11.67"
"All-powerful CDC calls for concentration camps in America, including the invasion of homes and neighborhoods","36.33","9"
"Most prolific taxpayers will now FLEE California as the state passes “wealth tax” targeting high income earners","15.5","32.5"
"Storable food FRAUD taking place nationwide as promoters falsely claim “non-GMO” status for GMO-derived foods","20.5","21.5"
"The ten most toxic ingredients commonly found in popular storable food / emergency food products","2.33","17.33"
"The same Bill Gates pushing vaccines and depopulation is also a key figure behind Impossible Foods, the FAKE MEAT virtue signaling corporate monster","28.33","17.33"
"New Zealand rolls out mandatory coronavirus quarantine camps, and its disarmed population is now powerless to stop it","31.33","5"
"MANDATORY “quarantine camps” were just rolled out in New Zealand, a globalist testing ground for the mass extermination of humanity","7.67","1.67"
"Goodyear tire company declares “zero tolerance” for anyone who supports America, law enforcement or President Trump… but openly endorses BLM terrorism and LGBT child mutilation","38","3.67"
"SCAMDEMIC SCIENCE: Coronavirus “cases” are medically meaningless, yet being used to justify weaponized lockdowns to destroy humanity","34.17","12.67"
"BREAKING: Live guided air-to-air missile discovered at Florida airport near Tampa; markings indicate a Matra R530F radar-guided missile that could bring down Air Force One","33.67","6.33"
"Plandemic II: inDOCTORnation film released – here are the most damning outtakes that expose the criminal fraud of Fauci, the WHO and the CDC","29","4.33"
"Next time you’re called a “crank” or “flat earther” on concerns about a ‘rushed’ coronavirus vaccine, show them this","30.62","20.38"
"Israel tests Biden's influence, and progressives' patience","0.67","44.33"
"Defense rests its case in trial of ex-cop accused of killing George Floyd","0","49"
"Medical examiner who ruled George Floyd's death a homicide blames police pressure for his death","-1.33","46.33"
"Congress passes $1.9T Covid relief bill, with $1,400 checks, in major win for Biden","-5","47.8"
"Supreme Court to hear major test of voting rights law","-2.33","43.33"
"Violence against Asian Americans and why 'hate crime' should be used carefully","-5","40"
"World leaders congratulate Biden, some take shots at Trump","-6.33","45"
"Some QAnon followers lose hope after Inauguration","-5","44"
"Democrats have a new tool to undo Trump's 'midnight rule-making.' But there's a catch.","-6.67","45"
"Pennsylvania GOP lawmakers fostered false election allegations that fueled Capitol riot","-7.67","45"
"GOP state legislators backed Trump in Capitol attack. It's on them to stop what's coming.","-11.33","41.33"
"No stockpile? Governors hit Washington as vaccine chokepoints pile up","-3.67","46"
"How Stacey Abrams has been mobilizing Asian Americans for years","-8.67","45.33"
"Matthew Levitt Trump's aiding Capitol violence as world watches shows U.S. is now exporting extremism","-2.33","39"
"Inside the Trump riots: How an ordinary Congress vote devolved into disarray","-6.33","38.33"
"Behind Tom Cruise's apparent outburst, Covid-era anxieties and power imbalances","-3.33","42.67"
"Harry Styles becomes first solo male artist to grace 'Vogue' cover alone","-2.33","37.33"
"Advocates fear Barrett will strip away gay rights. It could begin next week.","-10.25","39.62"
"From masks to disinfectants: Trump's coronavirus theories","-12.67","40"
"Why are Americans so confused about Covid-19? Blame Trump, Cornell study says","-12","42"
"Two conservative political operatives charged with misleading voter robocalls","-4.25","48.75"
"Trump tells Tulsa crowd he wanted to 'slow down' COVID-19 testing; White House says he was joking","-5.67","46.33"
"House passes Democratic pandemic relief measure as bipartisan talks continue","-1.33","52"
"Trump experiencing 'mild symptoms' after testing positive for Covid-19","-4.43","50.57"
"Trump is winning the voter registration battle against Biden in key states","-4","46.67"
"Big Pharma: There’s No Easy Way Out of the Vaccine Crisis We Created","-21.33","33.33"
"How Bill Gates Impeded Global Access to Covid Vaccines","-14","41.33"
"The Republican Milgram Experiment","-6","38"
"Dr. Seuss! Mr. Potato Head! Why the Culture Wars Have Never Been Dumber","-9.67","35.33"
"There’s No Such Thing as Ethical Grocery Shopping","-3.67","47.67"
"American’s Food Supply Chain Was Already Deadly. Then Came the Wildfires.","-11.8","40.8"
"Democrats Have Failed Urban Black Americans","-18.5","40.5"
"Biden’s Distracting Parade of Celebrity Boomers","-15","36.5"
"Why the GOP Didn’t Write a New Platform","-14.75","38.75"
"The World’s Dumbest Authoritarian","-26","25.33"
"Joe Kennedy’s Utterly Pointless, Utterly Consequential Campaign","-18","37.33"
"The Country’s Most Important Climate Election Is Happening in Texas","-12.67","39.33"
"The Lazy Liberalism of Instagram Slideshows","-19.67","27.67"
"QAnon Is Using the Anti-Trafficking Movement’s Conspiracy Playbook","-8.33","36.33"
"The Secret History of America’s Worthless Confederate Monuments","-20.5","36"
"“Family Life Coaches,” Private Jets, and the One Percent’s Pandemic Economy","-16.5","35.5"
"Death by a Thousand Cuts for One of America’s Last Great Institutions","-11.5","37.5"
"Inside the Project Veritas Plan to Steal the Election","-19","33"
"The Never Trumpers Have Already Won","-17.67","33"
"The Coronavirus Is Blowing Up Our Best Response to the Opioid Crisis","-11.33","44.67"
"Donald Trump Is Devouring His Country","-33","18.67"
"Stop Fretting About Biden’s VP Choice","-4.67","36.33"
"Trump Has Brought America’s Dirty Wars Home","-17.41","34.59"
"Should Offshore Oil Workers Get Paid While They Sleep?","-11.75","41.25"
"Why Is Bill de Blasio’s Presidential Dream a Sad Joke?","-8","40.25"
"Exiling the wrong politician: The tale of Liz Cheney, Kevin McCarthy and Donald Trump","-13","36.33"
"Andrew Yang drops ‘S-bomb’ during speech at Brooklyn church","2.33","37.33"
"NYPD Commissioner calls Rep. Maxine Waters ‘reckless,’ says cops are being targeted","0.67","43.33"
"American carnage: Another day, another mass shooting","-16.67","34.67"
"Media star Andrew Cuomo has gone missing","-12.33","31.67"
"Rush Limbaugh and Me: My strange relationship with the devil incarnate","-13.5","28.25"
"Hire NYC language pros at NYC pay, says union after Daily News reports $4 per hour wage for city’s interpreters","-4.67","43.67"
"Proud Boys founder worked as government informant: report","-5.67","42"
"Family outraged after 10 adults, 10 kids kicked off flight in Utah over mask rules","0","43.33"
"Unity? First, accountability: Before Joe Biden can bring America together, Donald Trump and his helpers must pay for what they’ve done","6.33","30.67"
"NYC’s Thanksgiving air travel to dip in pandemic — but car traffic should be closer to normal","0","46.33"
"NYC schools to remain open Monday, Mayor de Blasio says","-4","45"
"Trump’s unsubstantiated claims of voter fraud grow louder and less credible","-16.75","41.25"
"‘F--k you, we did a good job’: Polling guru Nate Silver defends election predictions amid backlash","-2.5","39.25"
"Trump calls NBC News ‘fake’ before getting an hour of free airtime from the network","-6.33","39.67"
"Trump and Melania test positive for COVID-19, will enter quarantine ‘immediately’","-13.33","43.67"
"Nearly 20,000 Amazon frontline workers caught coronavirus, company says","-2.67","51.33"
"Twitter removes Trump retweet that falsely claimed COVID-19 ‘has a cure’","-5.29","43.8"
"’Defund the police’ is a metaphor: House Majority Leader Hoyer","-9.5","41.12"
"NYC dentists, eye doctors, specialists see fewer patients in coronavirus crisis: ‘I may as well shut my doors, but I don’t want to’","0.33","44"
"Trump vows ‘strong Travel Advisory’ for N.Y., N.J. and Connecticut as he backs away from tri-state quarantine; Cuomo urges New Yorkers to brace as death toll grows","-8.67","44.67"
"NYC’s one-day coronavirus death toll shoots up to 222, number of cases soars past 30,000","-1.67","49.33"
"Trump signs largest economic rescue bill in history amid spiraling coronavirus crisis","-0.67","40.33"
"Trump proposes two-week quarantine on N.Y.C metropolitan area; Cuomo says no discussions about restrictions","3","46"
"Italy puts entire country on coronavirus lockdown","-3.4","48.6"
"Andrew Yang’s Insider Campaign","-5.8","44.4"
"Steve Scalise’s Ignorant, Racist Case Against D.C. Statehood","-10.33","34.33"
"Swalwell on Impeachment, Capitol Riot, and That Chinese Spy","-5","43.33"
"Firing Actors for Being Conservative Is Another Hollywood Blacklist","3","40.33"
"Georgia Certifies Biden Win, But Republican Infighting Continues","-8.67","42.33"
"Here’s All the Transition Help Trump Is Denying Biden","-6.33","46"
"Will Trump Screw Up Republican Efforts to Hang On to the Senate?","-9","38.67"
"The Danger (and Ineptitude) of Trump’s Failed Coup","-12","43.33"
"Donald Trump Jr. Has Tested Positive for COVID-19","-5.67","43.67"
"Trump Fraud Inquiries Include Write-offs to Ivanka: Report","-6.33","39.33"
"Michigan Legislators Spurn Trump’s Bid to Overturn Election Results","-5.33","44.33"
